state,dataset,recovery_unit,core_area,popn_stream,metric,source,year,value
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1973,114
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1974,290
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1975,461
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1976,414
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1977,212
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1978,118
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1979,262
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1980,220
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1981,140
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1982,100
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1983,131
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1984,349
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1985,160
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1986,154
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1987,129
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1988,132
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1989,185
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1990,247
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1991,300
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1992,271
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1993,113
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1994,147
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1995,203
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1996,220
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1997,110
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1998,114
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1999,162
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2000,301
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2001,361
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2002,362
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2003,139
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2004,240
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2005,242
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2006,313
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2007,409
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2008,362
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2009,422
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2010,300
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2011,479
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2012,347
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2013,411
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2014,329
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2015,379
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2016,242
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2017,299
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2018,364
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2019,469
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2000,17
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2001,46
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2002,25
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2003,27
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2004,27
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2005,8
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2006,13
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2007,7
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2008,3
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2009,17
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2010,9
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2011,20
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2012,20
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2013,56
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2014,63
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2015,42
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2016,24
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2017,25
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2018,26
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,abundance,weir,2019,32
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1984,48
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1985,NA
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1986,119
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1987,12
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1988,NA
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1989,37
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1990,NA
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1991,89
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1992,73
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1993,27
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1994,61
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1995,17
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1996,175
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1997,NA
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,abundance,weir,1998,NA
